date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago,
20090406,4/6/2009,1,6,96,Monday,Mon,Weekday,15,15,4/6/2009,20090406,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/6/2008,
20090407,4/7/2009,2,7,97,Tuesday,Tue,Weekday,15,15,4/6/2009,20090406,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/7/2008,
20090408,4/8/2009,3,8,98,Wednesday,Wed,Weekday,15,15,4/6/2009,20090406,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/8/2008,
20090409,4/9/2009,4,9,99,Thursday,Thu,Weekday,15,15,4/6/2009,20090406,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/9/2008,
20090410,4/10/2009,5,10,100,Friday,Fri,Weekday,15,15,4/6/2009,20090406,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/10/2008,
20090411,4/11/2009,6,11,101,Saturday,Sat,Weekend,15,15,4/6/2009,20090406,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/11/2008,
20090412,4/12/2009,7,12,102,Sunday,Sun,Weekend,15,15,4/6/2009,20090406,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/12/2008,
20090413,4/13/2009,1,13,103,Monday,Mon,Weekday,16,16,4/13/2009,20090413,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/13/2008,
20090414,4/14/2009,2,14,104,Tuesday,Tue,Weekday,16,16,4/13/2009,20090413,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/14/2008,
20090415,4/15/2009,3,15,105,Wednesday,Wed,Weekday,16,16,4/13/2009,20090413,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/15/2008,
20090416,4/16/2009,4,16,106,Thursday,Thu,Weekday,16,16,4/13/2009,20090413,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/16/2008,
20090417,4/17/2009,5,17,107,Friday,Fri,Weekday,16,16,4/13/2009,20090413,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/17/2008,
20090418,4/18/2009,6,18,108,Saturday,Sat,Weekend,16,16,4/13/2009,20090413,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/18/2008,
20090419,4/19/2009,7,19,109,Sunday,Sun,Weekend,16,16,4/13/2009,20090413,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/19/2008,
20090420,4/20/2009,1,20,110,Monday,Mon,Weekday,17,17,4/20/2009,20090420,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/20/2008,
20090421,4/21/2009,2,21,111,Tuesday,Tue,Weekday,17,17,4/20/2009,20090420,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/21/2008,
20090422,4/22/2009,3,22,112,Wednesday,Wed,Weekday,17,17,4/20/2009,20090420,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/22/2008,
20090423,4/23/2009,4,23,113,Thursday,Thu,Weekday,17,17,4/20/2009,20090420,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/23/2008,
20090424,4/24/2009,5,24,114,Friday,Fri,Weekday,17,17,4/20/2009,20090420,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/24/2008,
20090425,4/25/2009,6,25,115,Saturday,Sat,Weekend,17,17,4/20/2009,20090420,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/25/2008,
20090426,4/26/2009,7,26,116,Sunday,Sun,Weekend,17,17,4/20/2009,20090420,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/26/2008,
20090427,4/27/2009,1,27,117,Monday,Mon,Weekday,18,18,4/27/2009,20090427,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/27/2008,
20090428,4/28/2009,2,28,118,Tuesday,Tue,Weekday,18,18,4/27/2009,20090427,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/28/2008,
20090429,4/29/2009,3,29,119,Wednesday,Wed,Weekday,18,18,4/27/2009,20090427,4,4,April,Apr,2,2009,200904,10,4,2009,Not Month End,4/29/2008,
20090430,4/30/2009,4,30,120,Thursday,Thu,Weekday,18,18,4/27/2009,20090427,4,4,April,Apr,2,2009,200904,10,4,2009,Month End,4/30/2008,
20090501,5/1/2009,5,1,121,Friday,Fri,Weekday,18,18,4/27/2009,20090427,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/1/2008,
20090502,5/2/2009,6,2,122,Saturday,Sat,Weekend,18,18,4/27/2009,20090427,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/2/2008,
20090503,5/3/2009,7,3,123,Sunday,Sun,Weekend,18,18,4/27/2009,20090427,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/3/2008,
20090504,5/4/2009,1,4,124,Monday,Mon,Weekday,19,19,5/4/2009,20090504,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/4/2008,
20090505,5/5/2009,2,5,125,Tuesday,Tue,Weekday,19,19,5/4/2009,20090504,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/5/2008,
20090506,5/6/2009,3,6,126,Wednesday,Wed,Weekday,19,19,5/4/2009,20090504,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/6/2008,
20090507,5/7/2009,4,7,127,Thursday,Thu,Weekday,19,19,5/4/2009,20090504,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/7/2008,
20090508,5/8/2009,5,8,128,Friday,Fri,Weekday,19,19,5/4/2009,20090504,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/8/2008,
20090509,5/9/2009,6,9,129,Saturday,Sat,Weekend,19,19,5/4/2009,20090504,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/9/2008,
20090510,5/10/2009,7,10,130,Sunday,Sun,Weekend,19,19,5/4/2009,20090504,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/10/2008,
20090511,5/11/2009,1,11,131,Monday,Mon,Weekday,20,20,5/11/2009,20090511,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/11/2008,
20090512,5/12/2009,2,12,132,Tuesday,Tue,Weekday,20,20,5/11/2009,20090511,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/12/2008,
20090513,5/13/2009,3,13,133,Wednesday,Wed,Weekday,20,20,5/11/2009,20090511,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/13/2008,
20090514,5/14/2009,4,14,134,Thursday,Thu,Weekday,20,20,5/11/2009,20090511,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/14/2008,
20090515,5/15/2009,5,15,135,Friday,Fri,Weekday,20,20,5/11/2009,20090511,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/15/2008,
20090516,5/16/2009,6,16,136,Saturday,Sat,Weekend,20,20,5/11/2009,20090511,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/16/2008,
20090517,5/17/2009,7,17,137,Sunday,Sun,Weekend,20,20,5/11/2009,20090511,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/17/2008,
20090518,5/18/2009,1,18,138,Monday,Mon,Weekday,21,21,5/18/2009,20090518,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/18/2008,
20090519,5/19/2009,2,19,139,Tuesday,Tue,Weekday,21,21,5/18/2009,20090518,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/19/2008,
20090520,5/20/2009,3,20,140,Wednesday,Wed,Weekday,21,21,5/18/2009,20090518,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/20/2008,
20090521,5/21/2009,4,21,141,Thursday,Thu,Weekday,21,21,5/18/2009,20090518,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/21/2008,
20090522,5/22/2009,5,22,142,Friday,Fri,Weekday,21,21,5/18/2009,20090518,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/22/2008,
20090523,5/23/2009,6,23,143,Saturday,Sat,Weekend,21,21,5/18/2009,20090518,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/23/2008,
20090524,5/24/2009,7,24,144,Sunday,Sun,Weekend,21,21,5/18/2009,20090518,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/24/2008,
20090525,5/25/2009,1,25,145,Monday,Mon,Weekday,22,22,5/25/2009,20090525,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/25/2008,
20090526,5/26/2009,2,26,146,Tuesday,Tue,Weekday,22,22,5/25/2009,20090525,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/26/2008,
20090527,5/27/2009,3,27,147,Wednesday,Wed,Weekday,22,22,5/25/2009,20090525,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/27/2008,
20090528,5/28/2009,4,28,148,Thursday,Thu,Weekday,22,22,5/25/2009,20090525,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/28/2008,
20090529,5/29/2009,5,29,149,Friday,Fri,Weekday,22,22,5/25/2009,20090525,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/29/2008,
20090530,5/30/2009,6,30,150,Saturday,Sat,Weekend,22,22,5/25/2009,20090525,5,5,May,May,2,2009,200905,11,4,2009,Not Month End,5/30/2008,
20090531,5/31/2009,7,31,151,Sunday,Sun,Weekend,22,22,5/25/2009,20090525,5,5,May,May,2,2009,200905,11,4,2009,Month End,5/31/2008,
20090601,6/1/2009,1,1,152,Monday,Mon,Weekday,23,23,6/1/2009,20090601,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/1/2008,
20090602,6/2/2009,2,2,153,Tuesday,Tue,Weekday,23,23,6/1/2009,20090601,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/2/2008,
20090603,6/3/2009,3,3,154,Wednesday,Wed,Weekday,23,23,6/1/2009,20090601,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/3/2008,
20090604,6/4/2009,4,4,155,Thursday,Thu,Weekday,23,23,6/1/2009,20090601,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/4/2008,
20090605,6/5/2009,5,5,156,Friday,Fri,Weekday,23,23,6/1/2009,20090601,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/5/2008,
20090606,6/6/2009,6,6,157,Saturday,Sat,Weekend,23,23,6/1/2009,20090601,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/6/2008,
20090607,6/7/2009,7,7,158,Sunday,Sun,Weekend,23,23,6/1/2009,20090601,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/7/2008,
20090608,6/8/2009,1,8,159,Monday,Mon,Weekday,24,24,6/8/2009,20090608,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/8/2008,
20090609,6/9/2009,2,9,160,Tuesday,Tue,Weekday,24,24,6/8/2009,20090608,6,6,June,Jun,2,2009,200906,12,4,2009,Not Month End,6/9/2008,
